Customer Account,Customer Account Age,Customer Nationality,Suspicious activity found in previous transactions,KYC Complied,Frequency of transaction in last 30 days,Average Transaction Amount
BC541C76F,7.41,UK,1,1,9,81263.97857
BC541C76F,2.75,USA,0,1,3,73912.1375
BC541C76F,26.55,Canada,0,1,4,66168.53556
63809044B,1.51,USA,0,1,2,12117.7
63809044B,17.17,Canada,0,1,3,64479.405
63809044B,10.16,USA,0,0,7,50078.22667
63809044B,26.94,Canada,0,1,8,41306.5675
5AC8A3BD6,15.81,USA,0,0,4,82498.78
5AC8A3BD6,25.75,India,0,0,5,42402.055
3BF7E6C3D,25.4,India,0,1,4,883.49
3BF7E6C3D,21.38,UK,0,1,4,91303.975
3BF7E6C3D,16.4,UK,0,1,4,63499.88667
3BF7E6C3D,3.02,UK,0,1,6,78963.2625
3BF7E6C3D,6.75,USA,0,1,6,75722.398
3BF7E6C3D,3.05,UK,0,0,3,67894.395
3BF7E6C3D,18.84,UK,0,1,5,59972.81143
3ACEA597B,25.33,Canada,0,1,6,11851.24
3ACEA597B,20.35,UK,0,1,6,10418.99
3ACEA597B,18.06,USA,0,0,2,84885.30667
3ACEA597B,6.5,USA,0,0,9,66075.0775
5B4C30084,9.58,USA,0,1,3,18824.55
5B4C30084,26.18,UK,0,1,7,13742.86
8D3103FF6,10.86,UK,0,1,0.01,3497.82
8D3103FF6,25.16,UK,0,0,4,9127.905
8D3103FF6,23.61,UK,0,1,3,23254.09
8D3103FF6,21.91,Canada,1,1,9,20362.55
8D3103FF6,17.29,USA,1,1,4,29856.52
8D3103FF6,26.37,UK,0,1,6,25195.54667
8D3103FF6,17.92,India,0,1,4,27076.79143
A7DEEFAD4,8.28,UK,0,0,6,55239.06
A7DEEFAD4,10.2,UK,0,0,7,40863.875
94D73A4E9,7.23,UK,0,1,4,82409.39
94D73A4E9,10.4,UK,1,0,1,68964.225
94D73A4E9,5.35,USA,1,1,5,104447.33
94D73A4E9,6.23,USA,0,1,4,107848.89
94D73A4E9,25.54,USA,1,0,3,94900.572
94D73A4E9,18.81,India,0,1,7,88318.17667
94D73A4E9,12.68,USA,0,1,2,80442.56429
94D73A4E9,12.23,UK,0,1,6,74443.16375
01D3FF04D,15.43,USA,0,1,4,12587.75
01D3FF04D,12.56,USA,0,1,7,44265.25
01D3FF04D,26.47,USA,0,1,3,31425.54667
01D3FF04D,26.04,USA,0,0,7,26362.225
01D3FF04D,27.87,UK,0,1,4,80302.878
01D3FF04D,27.11,India,0,1,3,84295.59833
01D3FF04D,24.76,Canada,0,1,6,74429.36714
01D3FF04D,11.43,USA,0,0,6,70565.1425
01D3FF04D,24.11,USA,0,1,7,66534.69222
A309A40C7,23.24,USA,0,1,5,56224.16
A309A40C7,8.05,USA,1,1,3,283100.67
A309A40C7,29.66,UK,0,1,1,190389.99
A309A40C7,7.35,UK,0,0,5,143719.1525
A309A40C7,12.06,USA,0,1,4,117150.192
A309A40C7,25.49,UK,0,0,5,130966.2867
A309A40C7,10.33,USA,0,1,9,176711.93
FB7B890A4,23.25,USA,0,0,1,2376.03
FB7B890A4,3.19,USA,0,1,5,10370.805
FB7B890A4,3.54,Canada,0,0,4,10555.69333
FB7B890A4,13.8,India,0,1,4,16783.3575
9CC7F1021,25.69,UK,0,0,6,13121.73
9CC7F1021,1.02,Canada,1,0,5,9027.45
9CC7F1021,1.19,India,0,0,6,29098.59667
9CC7F1021,2.21,UK,1,0,9,34702.995
C80853A7B,4.41,USA,0,1,6,8039.29
C80853A7B,17.79,USA,0,1,7,31972.11
C80853A7B,7.63,UK,0,0,8,29674.65333
C80853A7B,21.37,UK,0,1,4,23886.325
2B9673901,14.26,USA,0,1,4,26014.97
2B9673901,13.77,UK,0,1,7,25395.745
2B9673901,2.66,USA,0,0,9,25712.72333
1D6B7F139,18.68,UK,0,1,3,81294.88
1D6B7F139,24.61,USA,1,1,7,42516.05
1D6B7F139,29.73,USA,0,0,6,30066.83333
1D6B7F139,3.67,UK,0,1,2,31000.52
1D6B7F139,3.13,India,1,0,2,26244.154
1D6B7F139,1,India,0,0,3,26120.62333
1D6B7F139,20.41,USA,0,1,7,24229.02
1D6B7F139,18.97,USA,0,1,2,101078.7575
1D6B7F139,9.68,USA,0,1,6,90331.35
1D6B7F139,22.42,UK,0,1,1,81750.382
D1FE067DA,25.11,USA,0,0,9,48542.11
D1FE067DA,14.04,USA,0,0,8,28947.37
D1FE067DA,27.9,USA,0,1,2,25593.20667
D1FE067DA,10.07,USA,0,1,5,32214.2525
D1FE067DA,21.78,UK,0,0,3,25956.098
D1FE067DA,17.59,UK,0,0,2,29089.89167
D1FE067DA,6.55,India,0,0,1,31516.52714
D1FE067DA,11.23,UK,0,0,5,41370.265
BBF4A880F,24.4,India,1,0,5,143966.89
BBF4A880F,28.04,UK,0,1,6,81091.54
BBF4A880F,10.36,USA,0,1,1,55841.67667
BBF4A880F,5.45,USA,0,1,7,44092.825
BBF4A880F,18.12,UK,0,1,5,38104.582
BBF4A880F,7.33,USA,0,1,6,52846.56167
BBF4A880F,17.94,India,0,1,6,45704.85429
BBF4A880F,3.29,UK,1,0,3,44362.51375
BBF4A880F,5.47,India,0,1,1,40369.09333
ECEC6AD49,9.36,Canada,0,0,6,9547.11
ECEC6AD49,17.17,Canada,0,0,6,5661.81
ECEC6AD49,10.44,USA,0,1,3,23534.18333
ECEC6AD49,17.53,USA,0,1,4,18606.6275
ECEC6AD49,29.53,Switzerland,0,1,4,17116.9
6B98491D8,3.69,USA,0,1,2,59254.49
6B98491D8,2.05,India,1,0,3,71840.05
6B98491D8,11.18,USA,0,0,3,59273.25
6B98491D8,17.75,Canada,0,1,8,54327.4125
6B98491D8,15.01,USA,0,0,9,44417.844
6B98491D8,24.5,USA,0,0,11,37294.93667
FE31B42A6,26.89,UK,1,1,3,14711.5
FE31B42A6,5.6,USA,0,1,4,45964.11
FE31B42A6,4.12,Canada,0,1,2,31340.59
FE31B42A6,29.12,USA,0,0,5,48879.965
5CE01C279,23.04,USA,0,1,8,35014.79
5CE01C279,17.75,Canada,1,1,3,46300.44
5CE01C279,12.56,UK,0,1,2,35075.01333
5CE01C279,3.86,USA,0,1,9,44591.86
1DAA18C12,28.08,USA,0,1,9,13023.68
1DAA18C12,4.84,India,1,0,6,20350.485
1DAA18C12,29.27,USA,0,0,2,16157.42333
1DAA18C12,28.75,India,1,0,8,16441.57
1DAA18C12,10.89,USA,1,1,6,14919.726
1DAA18C12,8.25,UK,0,1,6,12967.52
BE0E0E1A1,9.01,USA,0,1,4,40263.19
BE0E0E1A1,29.85,USA,0,0,6,23353.5
BE0E0E1A1,4.35,Switzerland,0,1,8,15956.36333
BE0E0E1A1,19.11,UK,0,0,3,68542.275
BE0E0E1A1,22.26,Canada,0,0,5,76358.696
BE0E0E1A1,2.04,USA,0,1,2,99565.45333
BE0E0E1A1,24.8,USA,0,0,5,87687.33857
BE0E0E1A1,17.58,UK,0,1,6,82489.24
BE0E0E1A1,21.81,USA,0,1,4,74214.08444
6734CFB72,2.86,USA,0,0,3,180712.53
6734CFB72,1.79,UK,1,1,6,116529.525
753472A64,22.17,UK,0,1,1,1312.12
753472A64,22.67,UK,0,0,4,10540.595
205267CB4,19.47,Canada,0,0,5,31808.81
205267CB4,18.07,UK,0,0,5,16856.18
205267CB4,10.08,USA,0,1,4,64275.03667
205267CB4,6.18,India,0,0,4,48676.2125
205267CB4,4.38,USA,0,1,6,40382.552
7772AE13F,2.86,USA,0,1,8,30455.97
7772AE13F,10.21,Canada,0,1,1,15556.665
7772AE13F,14.74,USA,0,1,4,12368.88667
7772AE13F,10.56,USA,0,1,5,42339.8875
7772AE13F,24.5,UK,0,1,2,35820.508
7772AE13F,10.87,USA,0,1,5,39929.96
7772AE13F,29.16,USA,0,0,8,51796.21429
7772AE13F,19.15,UK,0,1,5,45426.21125
7772AE13F,20.48,India,0,0,9,42088.28444
7772AE13F,13.34,UK,0,1,4,38074.916
C595625F5,15.39,Canada,0,1,5,105653.3
C595625F5,12.09,India,0,0,1,89407.92
C595625F5,26.85,UAE,0,1,2,62174.18333
ADC52A8F2,19.08,USA,0,1,7,19131.66
ADC52A8F2,13.28,India,1,1,8,24645.505
ADC52A8F2,15.35,Switzerland,1,1,9,20500.94
ADC52A8F2,28.87,USA,0,1,4,38585.27
ADC52A8F2,29.74,UAE,0,1,2,31961.764
ADC52A8F2,11.19,UK,0,1,5,31102.99
9AABA6AF3,16.46,India,0,1,2,88691.31
9AABA6AF3,27.83,USA,0,1,7,57810.36
9AABA6AF3,12.81,USA,0,1,3,54871.52333
9AABA6AF3,27.32,UK,0,1,4,44642.2475
9AABA6AF3,25.59,UK,1,1,4,37376.14
9AABA6AF3,25.21,UK,0,1,5,47963.455
9AABA6AF3,18.31,UK,0,1,6,42295.00714
9AABA6AF3,1.8,USA,0,1,3,81664.8975
5B8A0ED7B,3.54,UK,0,0,2,16837.56
5B8A0ED7B,13.99,USA,0,1,5,11205.505
5B8A0ED7B,22.74,USA,0,1,9,191496.0267
5B8A0ED7B,4.83,India,0,1,4,145349.815
5B8A0ED7B,14.48,USA,0,1,1,117948.006
5B8A0ED7B,11.41,UK,0,1,6,105414.0367
CF79DD8DF,27.73,USA,1,1,5,2641.37
CF79DD8DF,17.12,India,0,1,8,29929.11
CF79DD8DF,25.46,Canada,0,0,3,50994.85
CF79DD8DF,16.14,Canada,0,0,8,42176.6025
CF79DD8DF,7.42,UK,0,1,6,39710.922
5C1545487,28.59,USA,1,1,7,6879.13
5C1545487,18.83,USA,0,1,6,13295.765
5C1545487,13.51,UK,1,1,5,14147.24333
5C1545487,8.69,India,0,1,2,12455.805
5C1545487,6.56,USA,0,1,4,12216.948
5C1545487,2.01,UK,1,1,4,16059.26167
5C1545487,16.79,Canada,0,0,9,20986.07714
E2046A958,6.65,India,0,1,3,155346.16
E2046A958,1.5,UAE,0,1,3,88670.25
E2046A958,17.04,USA,0,0,7,60017.46667
E2046A958,4.04,USA,0,1,2,46633.4575
E2046A958,26.42,UK,0,1,5,49504.334
E2046A958,21.44,UK,0,1,6,44450.47
E2046A958,9.75,India,0,0,5,41299.44857
E2046A958,9.08,USA,0,1,2,36839.98125
519B8B629,18.58,UK,0,1,7,23832.53
519B8B629,24.68,India,0,1,8,19769.15
519B8B629,17.16,UK,0,1,3,16128.64667
519B8B629,26.77,USA,1,1,1,16195.1425
519B8B629,5.08,Canada,0,1,2,57911.504
519B8B629,18.4,India,0,0,1,49501.095
519B8B629,2.25,Canada,1,1,4,43219.49286
519B8B629,8.22,UK,0,1,3,40396.84625
519B8B629,16.54,USA,0,1,2,38729.82667
519B8B629,13.78,UK,0,1,3,36473.491
CF42F5531,15.92,UK,0,0,6,18644.31
CF42F5531,18.23,Canada,0,1,4,17776.91
CF42F5531,19.52,UK,0,0,6,65282.81333
E32B5A539,9.9,Switzerland,0,0,8,27348.8
E32B5A539,15.04,USA,0,1,5,17387.85
DB150106B,9.89,Switzerland,0,1,5,7439.46
DB150106B,28.46,UK,0,1,1,15733.86
DB150106B,2.19,USA,0,1,6,13476.23
DB150106B,24.63,USA,1,1,4,138654.135
DB150106B,29.98,USA,0,1,1,117352.616
DB150106B,5.22,USA,0,1,4,98425.39333
DB150106B,10.8,Switzerland,0,1,6,98574.66714
DB150106B,17.07,UK,0,0,8,94845.44125
DB150106B,29.56,India,0,1,2,84963.33333
DB150106B,10.38,India,0,1,6,91603.795
A5BF6AEAC,24.53,USA,0,0,1,51913.48
A5BF6AEAC,3.64,USA,0,1,5,173367.865
A5BF6AEAC,4.64,USA,0,1,7,165404.3933
8B442BD38,21.64,UAE,0,1,1,70797.56
8B442BD38,23.14,Canada,0,0,6,52042.11
E91870F26,27.77,USA,0,1,3,34659.87
E91870F26,14.2,USA,0,1,3,4303432.88
E91870F26,29.56,UK,0,1,6,2935258.217
E91870F26,19.99,USA,0,1,5,2203925.893
E91870F26,14.75,UAE,0,1,7,1763269.888
E91870F26,21.11,UK,1,1,3,1473584.735
E91870F26,12.79,UAE,1,1,6,1265557.276
E91870F26,11.82,UK,1,1,4,1156680.964
E91870F26,10.88,UK,0,1,3,1029856.503
8BC81E550,17.92,UK,0,1,5,43145.08
8BC81E550,26.22,USA,0,1,3,36012.72
8BC81E550,17.52,USA,0,0,5,24589.75
8BC81E550,10.5,India,0,0,4,44738.05
8BC81E550,27.47,UK,1,1,8,52115.882
8BC81E550,19.17,USA,0,1,3,44616.59833
8BC81E550,9.61,UK,0,0,2,39573.00143
8BC81E550,11.98,USA,0,0,5,41989.19625
8BC81E550,12.47,UAE,0,1,5,37864.19778
8BC81E550,22.58,UK,0,1,9,51030.132
66B0EA071,27.22,USA,0,1,5,232574.63
66B0EA071,1.11,UK,1,1,8,124772.575
66B0EA071,24.26,Canada,0,1,5,87114.35333
66B0EA071,10.47,Switzerland,0,1,2,67009.6025
66B0EA071,23.33,UAE,0,1,4,79644.966
66B0EA071,7.96,UK,0,1,4,117151.8467
66B0EA071,22.93,India,0,1,6,103789.0343
66B0EA071,1.99,USA,0,1,5,92649.6925
66B0EA071,5.51,USA,0,0,4,84144.54556
3F8BD85F8,8.75,USA,0,1,4,38274.32
3F8BD85F8,17.81,UAE,0,1,5,23532.98
3F8BD85F8,1.68,UK,0,0,1,16810.85
3F8BD85F8,13.21,USA,1,0,2,16700.2575
3F8BD85F8,6.35,USA,0,1,4,22116.072
3F8BD85F8,5.31,UAE,0,1,3,28516.48833
3F8BD85F8,5.25,USA,0,1,4,26965.97571
3F8BD85F8,7.82,UK,0,1,8,25331.7725
3F8BD85F8,19.59,India,1,1,1,24998.15222
3F8BD85F8,17.62,UAE,0,0,5,22851.067
DDF21B17B,13.97,India,0,1,7,8487.07
DDF21B17B,11.81,UK,0,1,8,10527.96
DDF21B17B,27.11,Canada,0,0,5,14074.78333
DDF21B17B,16.2,USA,1,1,6,55775.8025
DDF21B17B,4.78,USA,0,1,6,54408.658
DDF21B17B,3.53,USA,0,0,2,46354.29333
DDF21B17B,6.94,USA,0,1,1,46551.88286
DDF21B17B,17.24,UK,0,1,9,78949.3425
45D09C02D,17.89,UK,0,1,8,52961.65
45D09C02D,10.07,UK,0,0,8,28327.93
45D09C02D,23.86,USA,0,1,5,25571.63
45D09C02D,15.27,Switzerland,0,0,4,21882.61
45D09C02D,8.94,USA,0,1,4,17905.912
E17D2E93C,7.8,USA,0,1,1,36350.33
E17D2E93C,4.8,UK,0,1,3,38956.855
30E7184FD,6.6,Canada,1,1,5,46530.99
30E7184FD,25.39,USA,0,1,4,79762.595
30E7184FD,29.8,UK,0,1,5,59942.73667
30E7184FD,1.45,USA,0,0,4,60860.7875
30E7184FD,12.48,India,0,1,1,60065.248
30E7184FD,25.1,Canada,0,1,2,51581.87667
30E7184FD,24.75,UAE,0,1,2,48029.37857
CF2DF07AC,19.42,UK,0,1,2,84088.57
CF2DF07AC,21.05,UK,0,1,6,42826.835
CF2DF07AC,5.53,USA,0,1,7,30144.71
CF2DF07AC,5.56,Switzerland,0,0,2,27392.3
CF2DF07AC,25.95,USA,1,0,10,25631.726
CF2DF07AC,13.79,USA,0,0,2,21400.725
CF2DF07AC,11.68,India,0,1,4,20979.19429
CF2DF07AC,5.64,USA,0,1,8,19997.90125
CF2DF07AC,22.89,UK,0,1,4,18605.56222
CF2DF07AC,13.69,Canada,0,0,1,18838.796
28CD53C09,1.86,USA,1,0,5,38451.56
28CD53C09,28.06,USA,0,1,4,20711.01
F371F4929,27.37,USA,1,1,6,48752.73
F371F4929,6.75,UK,0,1,6,47382.985
F371F4929,8.92,India,0,0,6,35957.44
F371F4929,7.97,Canada,0,1,4,51427.1225
F371F4929,27.86,India,0,0,2,44348.06
F371F4929,15.32,UK,0,1,3,177347.555
F371F4929,21.08,USA,1,0,5,158063.7129
F371F4929,21.65,USA,0,1,7,138556.5563
F371F4929,14.2,UK,0,1,6,123394.8367
F371F4929,27.01,India,0,1,6,128377.57
B12335319,2.9,India,0,1,11,35844.91
B12335319,5.98,USA,0,0,4,97298.225
B12335319,19.24,USA,0,1,7,69799.31667
B12335319,26.15,USA,0,0,3,66160.965
B12335319,28.05,USA,0,1,9,80562.202
B12335319,26.39,USA,0,1,6,68164.355
B12335319,4.7,USA,0,1,6,72110.13286
C190AC1A9,8.79,USA,0,1,6,5979.44
C190AC1A9,25.49,India,0,1,6,9141.13
C190AC1A9,1.48,Switzerland,0,0,7,41612.56667
C190AC1A9,17.3,Canada,0,1,5,57744.315
C190AC1A9,28.17,India,0,1,3,59455.07
EB114A2EC,10.5,USA,0,1,7,11074.42
EB114A2EC,26.58,India,0,1,5,55898.26
EB114A2EC,7.38,USA,1,1,3,85883.9
EB114A2EC,27.91,USA,0,0,8,65634.375
C5212CBBD,23.41,USA,0,1,2,7020.97
C5212CBBD,26.93,UK,0,1,2,23727.445
C5212CBBD,21.57,UK,0,1,3,19136.97333
C5212CBBD,10.4,USA,0,1,8,77614.21
C5212CBBD,24.27,Canada,0,1,3,76713.832
C5212CBBD,8.28,USA,0,1,1,92778.92333
C5212CBBD,29.82,Canada,0,1,6,80991.55286
C5212CBBD,16.32,USA,0,0,5,74087.2475
34F3A0C33,7.9,UK,1,1,6,542.4
34F3A0C33,5.39,USA,1,1,4,1935.675
34F3A0C33,1.53,India,0,1,5,36994.08333
34F3A0C33,14.43,UK,0,1,4,42379.575
34F3A0C33,10.74,USA,0,1,3,42228.232
34F3A0C33,3.4,UK,0,0,2,44579.155
BA3E97B9F,5.29,UK,0,0,7,126221.41
BA3E97B9F,2.21,UK,0,1,6,80072.74
BA3E97B9F,13.93,UK,0,0,4,55252.89333
BA3E97B9F,27.87,USA,0,1,3,44214.3525
BA3E97B9F,18.01,USA,0,1,4,41787.668
BA3E97B9F,10.19,USA,0,1,6,35773.305
BA3E97B9F,25.59,Canada,0,0,5,35060.80714
BA3E97B9F,3.28,UK,0,1,5,31191.51625
1D3015AD4,6.12,UK,0,0,5,9218.67
1D3015AD4,23.79,UK,1,0,9,40305.51
4CF5A090C,4.56,UK,0,1,4,22999.29
4CF5A090C,8.88,India,0,0,3,21177.485
4CF5A090C,17.01,USA,0,1,8,15213.24667
4CF5A090C,25.57,UK,0,0,4,13192.54
2ED4A7718,5.1,USA,0,1,1,13638.87
2ED4A7718,3.69,India,0,1,7,10562.3
36907C722,11.62,USA,0,1,11,3241.61
36907C722,23.31,UK,0,1,5,7965.625
36907C722,3.56,USA,0,1,6,11774.44333
36907C722,1.44,UK,0,1,9,9533.46
36907C722,23.72,USA,0,1,2,11954.954
36907C722,14.7,USA,0,1,4,16384.97167
69980D79F,16.01,India,0,1,5,3957.66
69980D79F,8,UK,0,0,1,3251.99
69980D79F,16.34,India,0,0,4,6086.223333
69980D79F,1.14,USA,0,1,3,13302.725
69980D79F,5.35,UK,0,0,6,17310.872
0505C3428,5.65,UK,0,1,7,43625.74
0505C3428,22.59,USA,0,1,3,35920.67
